date,yt_pred_mlp_8,yt_true
1951-12-01,2022.9634877172052,1825
1952-01-01,1861.1704305361434,1670
1952-02-01,1841.2098938175807,1681
1952-03-01,1931.9919983673324,1713
1952-04-01,1986.95592812284,1954
1952-05-01,2135.943013850513,1876
1952-06-01,2269.715557738094,2272
1952-07-01,2684.3943585052193,2612
1952-08-01,3034.7348630131014,3590
1952-09-01,2886.170529707978,2496
1952-10-01,2457.412065039796,2441
1952-11-01,2268.818424125736,2340
1952-12-01,2050.985174066736,2090
1953-01-01,1941.240382367185,1812
1953-02-01,1874.6076359552205,1788
1953-03-01,1953.9523878268487,1837
1953-04-01,2052.159336276747,1993
1953-05-01,2106.0136949694074,2021
1953-06-01,2347.0706598188353,2199
1953-07-01,2725.7064562485557,2622
1953-08-01,3177.8127733100177,3787
1953-09-01,3138.6287775133123,2914
1953-10-01,2807.735699686662,2487
1953-11-01,2485.0704908958696,2314
1953-12-01,2199.9500823455037,2139
1954-01-01,2028.901301617407,2124
1954-02-01,2033.0370799700197,2214
1954-03-01,2174.3806753770696,2234
1954-04-01,2286.8030590712497,2279
1954-05-01,2315.1422867203974,2423
1954-06-01,2499.8368507008518,2290
1954-07-01,2829.5950049824355,2903
1954-08-01,3470.1528452077046,4485
1954-09-01,3673.9962981629224,3085
1954-10-01,2987.9649928185563,2852
1954-11-01,2676.099494107128,2629
1954-12-01,2443.8852404484255,2435
1955-01-01,2363.956025364919,2227
1955-02-01,2325.6775048387117,1944
1955-03-01,2325.776825126617,2125
1955-04-01,2439.76092366238,2260
1955-05-01,2506.5639892681565,2299
1955-06-01,2571.7945348256553,2323
1955-07-01,3131.217731142353,2659
1955-08-01,3754.4219752149434,3761
1955-09-01,3511.0659716520327,2779
1955-10-01,3020.8995821312537,2761
1955-11-01,2805.457684569845,2446
1955-12-01,2515.250351415169,2278
1956-01-01,2304.3859536927866,1879
1956-02-01,2077.8962221637603,1881
1956-03-01,2206.7536437518315,2165
1956-04-01,2380.8123803073436,2199
1956-05-01,2421.2434247347333,2308
1956-06-01,2532.0133472093944,2529
1956-07-01,2957.702340982497,2573
1956-08-01,3325.365659051212,3946
1956-09-01,3400.259023441461,3200
1956-10-01,3125.9280195888737,2574
1956-11-01,2644.655755118025,2422
1956-12-01,2365.256304560589,2446
1957-01-01,2209.9319194209174,2828
1957-02-01,2396.6857138532428,2879
1957-03-01,2644.43816991807,2800
1957-04-01,2707.216070106064,2835
1957-05-01,2760.9019718165614,2585
1957-06-01,2735.434636675599,2787
1957-07-01,3037.611242141992,3334
1957-08-01,3794.0982032681227,4746
1957-09-01,3972.8131471763595,3613
1957-10-01,3317.4388922459357,3463
1957-11-01,3089.131054134893,3274
1957-12-01,3011.8875882207317,2801
1958-01-01,2950.3760707935107,2488
1958-02-01,2812.294607818969,2386
1958-03-01,2806.096329152718,2428
1958-04-01,2840.7696325252227,2678
1958-05-01,2854.965463949121,2744
1958-06-01,3102.7329683230732,2772
1958-07-01,3622.6776654547884,3520
1958-08-01,4291.748214663574,3833
1958-09-01,3953.5217687580607,3377
1958-10-01,3688.9487441421434,3013
1958-11-01,3315.070435048789,2871
1958-12-01,2929.4748587667486,2592
1959-01-01,2639.921975039719,2375
1959-02-01,2533.8365956968173,2304
1959-03-01,2602.3616225095884,2464
1959-04-01,2799.8259956982633,2557
1959-05-01,2877.6455282884067,2739
1959-06-01,3102.640008328245,2714
1959-07-01,3506.67641622885,3102
1959-08-01,3706.876170473379,3961
1959-09-01,3787.6289888351043,3772
1959-10-01,3581.6387678457604,3245
1959-11-01,3227.3951572506135,3104
1959-12-01,2933.325402428934,2869
1960-01-01,2697.6958572936483,2513
1960-02-01,2548.4546689281997,2385
1960-03-01,2607.303089565305,2756
1960-04-01,2857.9722013731684,2927
1960-05-01,3038.7646082029955,2940
1960-06-01,3115.183068841627,3180
1960-07-01,3546.0605118340495,3791
1960-08-01,4119.843438093833,4093
1960-09-01,4083.8782022582723,4309
1960-10-01,3933.3221929268257,3532
1960-11-01,3524.977976853388,3408
1960-12-01,3208.6409922094076,2839
1961-01-01,2762.7238613661325,2792
1961-02-01,2731.545908249516,2798
1961-03-01,2959.2364317798324,3007
1961-04-01,3179.737601065584,3086
1961-05-01,3300.236660985465,3201
1961-06-01,3566.0098283703956,3428
1961-07-01,3973.1298579551053,3754
1961-08-01,4239.829185864329,4917
1961-09-01,4585.936468135064,3760
1961-10-01,3952.0928953912494,3609
1961-11-01,3635.8797283458484,3471
1961-12-01,3250.9255699170017,3347
1962-01-01,3150.2085004385617,3333
1962-02-01,3189.1231988231925,3456
1962-03-01,3417.444311696019,3569
1962-04-01,3571.028695200807,3900
1962-05-01,3773.1212521204016,3909
1962-06-01,3947.491755739719,4098
1962-07-01,4326.364190243392,4826
1962-08-01,4774.017682144117,5770
1962-09-01,4692.0287694188155,5108
1962-10-01,4465.679336300493,4360
1962-11-01,4050.528367554912,4100
1962-12-01,3776.1603926830653,3562
1963-01-01,3497.242240612324,3284
1963-02-01,3434.0444897388084,3278
1963-03-01,3616.794154493362,3424
1963-04-01,3909.3515616673853,3843
1963-05-01,4134.2672532491,3614
1963-06-01,4280.379008414774,3536
1963-07-01,4635.688987725589,4505
1963-08-01,5029.833476791289,5456
1963-09-01,5033.501498483392,4881
1963-10-01,4725.717307107856,4041
1963-11-01,4254.451439265738,3724
1963-12-01,3747.7634787427946,3525
1964-01-01,3445.4088768012953,3437
1964-02-01,3426.4491241954593,3324
1964-03-01,3619.637497236585,3977
1964-04-01,4089.938932468348,4025
1964-05-01,4043.5879997729166,4016
1964-06-01,4151.863201701112,4031
1964-07-01,4635.08117740761,4489
1964-08-01,4941.426806309751,5563
1964-09-01,4961.18463641044,5709
1964-10-01,4791.198087556561,4620
1964-11-01,4333.236376682881,4160
1964-12-01,3933.2934214184265,4012
1965-01-01,3703.2011525602406,3987
1965-02-01,3725.436017216542,4155
1965-03-01,4143.036879109928,4054
1965-04-01,4231.581876654224,4485
1965-05-01,4396.050911498626,4558
1965-06-01,4488.51601403337,4462
1965-07-01,4743.348048292252,4594
1965-08-01,5058.293716551852,6481
1965-09-01,5309.064625131423,6345
1965-10-01,5125.528767615356,5142
1965-11-01,4690.961191824303,4824
1965-12-01,4420.5499587914455,4573
1966-01-01,4244.418913978326,4158
1966-02-01,4071.904471084595,4140
1966-03-01,4137.355734254574,4251
1966-04-01,4478.250306770517,4734
1966-05-01,4673.537972806118,4858
1966-06-01,4710.054854738728,4798
1966-07-01,4959.920933877018,5080
1966-08-01,5341.994597546805,6905
1966-09-01,5454.659626901842,5504
1966-10-01,5122.69935274591,5457
1966-11-01,4948.512770941042,5198
1966-12-01,4729.919052628776,4890
